Pasture,Patch,Pasture_patch,Year,Pasture_patch_year,FireTreat,HerbTreat,GrazingTreat,Grazing,TSF,TSH
GIL,C,GIL_C,2010,GIL_C_2010,FB,No,SLS,Yes,1,Never
GIL,C,GIL_C,2011,GIL_C_2011,FB,No,SLS,Yes,2,Never
GIL,C,GIL_C,2012,GIL_C_2012,FB,No,SLS,Yes,0,Never
GIL,C,GIL_C,2013,GIL_C_2013,FB,No,SLS,Yes,1,Never
GIL,C,GIL_C,2014,GIL_C_2014,FB,No,IES,Yes,2,Never
GIL,C,GIL_C,2015,GIL_C_2015,FB,Yes,IES,Yes,0,0.5
GIL,C,GIL_C,2016,GIL_C_2016,FB,Yes,IES,Yes,1,1.5
GIL,C,GIL_C,2017,GIL_C_2017,FB,Yes,IES,Yes,2,2.5
GIL,N,GIL_N,2007,GIL_N_2007,FB,No,SLS,Yes,UNK,Never
GIL,N,GIL_N,2008,GIL_N_2008,FB,No,SLS,Yes,UNK,Never
GIL,N,GIL_N,2009,GIL_N_2009,FB,No,SLS,Yes,0,Never
GIL,N,GIL_N,2010,GIL_N_2010,FB,No,SLS,Yes,1,Never
GIL,N,GIL_N,2011,GIL_N_2011,FB,No,SLS,Yes,2,Never
GIL,N,GIL_N,2012,GIL_N_2012,FB,No,SLS,Yes,0,Never
GIL,N,GIL_N,2013,GIL_N_2013,FB,No,SLS,Yes,1,Never
GIL,N,GIL_N,2014,GIL_N_2014,FB,No,IES,Yes,2,Never
GIL,N,GIL_N,2015,GIL_N_2015,FB,Yes,IES,Yes,0,0.5
GIL,N,GIL_N,2016,GIL_N_2016,FB,Yes,IES,Yes,1,1.5
GIL,N,GIL_N,2017,GIL_N_2017,FB,Yes,IES,Yes,2,2.5
GIL,S,GIL_S,2007,GIL_S_2007,FB,No,SLS,Yes,UNK,Never
GIL,S,GIL_S,2008,GIL_S_2008,FB,No,SLS,Yes,UNK,Never
GIL,S,GIL_S,2009,GIL_S_2009,FB,No,SLS,Yes,0,Never
GIL,S,GIL_S,2010,GIL_S_2010,FB,No,SLS,Yes,1,Never
GIL,S,GIL_S,2011,GIL_S_2011,FB,No,SLS,Yes,2,Never
GIL,S,GIL_S,2012,GIL_S_2012,FB,No,SLS,Yes,0,Never
GIL,S,GIL_S,2013,GIL_S_2013,FB,No,SLS,Yes,1,Never
GIL,S,GIL_S,2014,GIL_S_2014,FB,No,IES,Yes,2,Never
GIL,S,GIL_S,2015,GIL_S_2015,FB,Yes,IES,Yes,3,Never
GIL,S,GIL_S,2016,GIL_S_2016,FB,Yes,IES,Yes,0,Never
GIL,S,GIL_S,2017,GIL_S_2017,FB,Yes,IES,Yes,1,Never
KLN,C,KLN_C,2007,KLN_C_2007,PB,No,SLS,Yes,UNK,Never
KLN,C,KLN_C,2008,KLN_C_2008,PB,No,SLS,Yes,0,Never
KLN,C,KLN_C,2009,KLN_C_2009,PB,No,SLS,Yes,1,Never
KLN,C,KLN_C,2010,KLN_C_2010,PB,No,SLS,Yes,2,Never
KLN,C,KLN_C,2011,KLN_C_2011,PB,No,SLS,Yes,0,Never
KLN,C,KLN_C,2012,KLN_C_2012,PB,No,SLS,Yes,1,Never
KLN,C,KLN_C,2013,KLN_C_2013,PB,No,SLS,Yes,2,Never
KLN,C,KLN_C,2014,KLN_C_2014,PB,No,IES,Yes,0,Never
KLN,C,KLN_C,2015,KLN_C_2015,PB,No,IES,Yes,1,Never
KLN,C,KLN_C,2016,KLN_C_2016,PB,No,IES,Yes,2,Never
KLN,C,KLN_C,2017,KLN_C_2017,PB,No,IES,Yes,0,Never
KLN,E,KLN_E,2007,KLN_E_2007,PB,No,SLS,Yes,0,Never
KLN,E,KLN_E,2008,KLN_E_2008,PB,No,SLS,Yes,1,Never
KLN,E,KLN_E,2009,KLN_E_2009,PB,No,SLS,Yes,2,Never
KLN,E,KLN_E,2010,KLN_E_2010,PB,No,SLS,Yes,0,Never
KLN,E,KLN_E,2011,KLN_E_2011,PB,No,SLS,Yes,1,Never
KLN,E,KLN_E,2012,KLN_E_2012,PB,No,SLS,Yes,2,Never
KLN,E,KLN_E,2013,KLN_E_2013,PB,No,SLS,Yes,0,Never
KLN,E,KLN_E,2014,KLN_E_2014,PB,No,IES,Yes,1,Never
KLN,E,KLN_E,2015,KLN_E_2015,PB,No,IES,Yes,2,Never
KLN,E,KLN_E,2016,KLN_E_2016,PB,No,IES,Yes,0,Never
KLN,E,KLN_E,2017,KLN_E_2017,PB,No,IES,Yes,1,Never
KLN,W,KLN_W,2007,KLN_W_2007,PB,No,SLS,Yes,UNK,Never
KLN,W,KLN_W,2008,KLN_W_2008,PB,No,SLS,Yes,UNK,Never
KLN,W,KLN_W,2009,KLN_W_2009,PB,No,SLS,Yes,0,Never
KLN,W,KLN_W,2010,KLN_W_2010,PB,No,SLS,Yes,1,Never
KLN,W,KLN_W,2011,KLN_W_2011,PB,No,SLS,Yes,2,Never
KLN,W,KLN_W,2012,KLN_W_2012,PB,No,SLS,Yes,0,Never
KLN,W,KLN_W,2013,KLN_W_2013,PB,No,SLS,Yes,1,Never
KLN,W,KLN_W,2014,KLN_W_2014,PB,No,IES,Yes,2,Never
KLN,W,KLN_W,2015,KLN_W_2015,PB,No,IES,Yes,0,Never
KLN,W,KLN_W,2016,KLN_W_2016,PB,No,IES,Yes,1,Never
KLN,W,KLN_W,2017,KLN_W_2017,PB,No,IES,Yes,2,Never
KLT,E,KLT_E,2007,KLT_E_2007,FB,No,None,No,UNK,Never
KLT,E,KLT_E,2008,KLT_E_2008,FB,No,None,No,UNK,Never
KLT,E,KLT_E,2009,KLT_E_2009,FB,No,None,No,0,Never
KLT,E,KLT_E,2010,KLT_E_2010,FB,No,None,No,1,Never
KLT,E,KLT_E,2011,KLT_E_2011,FB,No,None,No,2,Never
KLT,E,KLT_E,2012,KLT_E_2012,FB,No,None,No,0,Never
KLT,E,KLT_E,2013,KLT_E_2013,FB,No,None,No,1,Never
KLT,E,KLT_E,2014,KLT_E_2014,FB,No,None,No,2,Never
KLT,E,KLT_E,2015,KLT_E_2015,FB,No,None,No,3,Never
KLT,E,KLT_E,2016,KLT_E_2016,FB,No,None,No,0,Never
KLT,E,KLT_E,2017,KLT_E_2017,FB,No,None,No,1,Never
KLT,S,KLT_S,2007,KLT_S_2007,FB,No,None,No,UNK,Never
KLT,S,KLT_S,2008,KLT_S_2008,FB,No,None,No,UNK,Never
KLT,S,KLT_S,2009,KLT_S_2009,FB,No,None,No,0,Never
KLT,S,KLT_S,2010,KLT_S_2010,FB,No,None,No,1,Never
KLT,S,KLT_S,2011,KLT_S_2011,FB,No,None,No,2,Never
KLT,S,KLT_S,2012,KLT_S_2012,FB,No,None,No,0,Never
KLT,S,KLT_S,2013,KLT_S_2013,FB,No,None,No,1,Never
KLT,S,KLT_S,2014,KLT_S_2014,FB,No,None,No,2,Never
KLT,S,KLT_S,2015,KLT_S_2015,FB,No,None,No,3,Never
KLT,S,KLT_S,2016,KLT_S_2016,FB,No,None,No,0,Never
KLT,S,KLT_S,2017,KLT_S_2017,FB,No,None,No,1,Never
KLT,W,KLT_W,2007,KLT_W_2007,FB,No,None,No,UNK,Never
KLT,W,KLT_W,2008,KLT_W_2008,FB,No,None,No,UNK,Never
KLT,W,KLT_W,2009,KLT_W_2009,FB,No,None,No,0,Never
KLT,W,KLT_W,2010,KLT_W_2010,FB,No,None,No,1,Never
KLT,W,KLT_W,2011,KLT_W_2011,FB,No,None,No,2,Never
KLT,W,KLT_W,2012,KLT_W_2012,FB,No,None,No,0,Never
KLT,W,KLT_W,2013,KLT_W_2013,FB,No,None,No,1,Never
KLT,W,KLT_W,2014,KLT_W_2014,FB,No,None,No,2,Never
KLT,W,KLT_W,2015,KLT_W_2015,FB,No,None,No,3,Never
KLT,W,KLT_W,2016,KLT_W_2016,FB,No,None,No,0,Never
KLT,W,KLT_W,2017,KLT_W_2017,FB,No,None,No,1,Never
LTR,C,LTR_C,2007,LTR_C_2007,FB,No,SLS,Yes,UNK,Never
LTR,C,LTR_C,2008,LTR_C_2008,FB,No,SLS,Yes,UNK,Never
LTR,C,LTR_C,2009,LTR_C_2009,FB,No,SLS,Yes,0,Never
LTR,C,LTR_C,2010,LTR_C_2010,FB,No,SLS,Yes,1,Never
LTR,C,LTR_C,2011,LTR_C_2011,FB,No,SLS,Yes,2,Never
LTR,C,LTR_C,2012,LTR_C_2012,FB,No,SLS,Yes,0,Never
LTR,C,LTR_C,2013,LTR_C_2013,FB,No,SLS,Yes,1,Never
LTR,C,LTR_C,2014,LTR_C_2014,FB,No,IES,Yes,2,Never
LTR,C,LTR_C,2015,LTR_C_2015,FB,Yes,IES,Yes,0,0.5
LTR,C,LTR_C,2016,LTR_C_2016,FB,Yes,IES,Yes,1,1.5
LTR,C,LTR_C,2017,LTR_C_2017,FB,Yes,IES,Yes,2,2.5
LTR,E,LTR_E,2007,LTR_E_2007,FB,No,SLS,Yes,UNK,Never
LTR,E,LTR_E,2008,LTR_E_2008,FB,No,SLS,Yes,UNK,Never
LTR,E,LTR_E,2009,LTR_E_2009,FB,No,SLS,Yes,0,Never
LTR,E,LTR_E,2010,LTR_E_2010,FB,No,SLS,Yes,1,Never
LTR,E,LTR_E,2011,LTR_E_2011,FB,No,SLS,Yes,2,Never
LTR,E,LTR_E,2012,LTR_E_2012,FB,No,SLS,Yes,0,Never
LTR,E,LTR_E,2013,LTR_E_2013,FB,No,SLS,Yes,1,Never
LTR,E,LTR_E,2014,LTR_E_2014,FB,No,IES,Yes,2,Never
LTR,E,LTR_E,2015,LTR_E_2015,FB,YEs,IES,Yes,0,0.5
LTR,E,LTR_E,2016,LTR_E_2016,FB,YEs,IES,Yes,1,1.5
LTR,E,LTR_E,2017,LTR_E_2017,FB,YEs,IES,Yes,2,2.5
LTR,W,LTR_W,2007,LTR_W_2007,FB,No,SLS,Yes,UNK,Never
LTR,W,LTR_W,2008,LTR_W_2008,FB,No,SLS,Yes,UNK,Never
LTR,W,LTR_W,2009,LTR_W_2009,FB,No,SLS,Yes,0,Never
LTR,W,LTR_W,2010,LTR_W_2010,FB,No,SLS,Yes,1,Never
LTR,W,LTR_W,2011,LTR_W_2011,FB,No,SLS,Yes,2,Never
LTR,W,LTR_W,2012,LTR_W_2012,FB,No,SLS,Yes,0,Never
LTR,W,LTR_W,2013,LTR_W_2013,FB,No,SLS,Yes,1,Never
LTR,W,LTR_W,2014,LTR_W_2014,FB,No,IES,Yes,2,Never
LTR,W,LTR_W,2015,LTR_W_2015,FB,Yes,IES,Yes,0,Never
LTR,W,LTR_W,2016,LTR_W_2016,FB,Yes,IES,Yes,1,Never
LTR,W,LTR_W,2017,LTR_W_2017,FB,Yes,IES,Yes,2,Never
PAW,E,PAW_E,2007,PAW_E_2007,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2008,PAW_E_2008,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2009,PAW_E_2009,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2010,PAW_E_2010,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2011,PAW_E_2011,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2012,PAW_E_2012,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2013,PAW_E_2013,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2014,PAW_E_2014,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2015,PAW_E_2015,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2016,PAW_E_2016,FB,No,None,No,UNK,Never
PAW,E,PAW_E,2017,PAW_E_2017,FB,No,None,No,0.5,Never
PAW,S,PAW_S,2007,PAW_S_2007,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2008,PAW_S_2008,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2009,PAW_S_2009,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2010,PAW_S_2010,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2011,PAW_S_2011,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2012,PAW_S_2012,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2013,PAW_S_2013,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2014,PAW_S_2014,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2015,PAW_S_2015,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2016,PAW_S_2016,FB,No,None,No,UNK,Never
PAW,S,PAW_S,2017,PAW_S_2017,FB,No,None,No,0.5,Never
PAW,W,PAW_W,2007,PAW_W_2007,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2008,PAW_W_2008,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2009,PAW_W_2009,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2010,PAW_W_2010,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2011,PAW_W_2011,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2012,PAW_W_2012,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2013,PAW_W_2013,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2014,PAW_W_2014,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2015,PAW_W_2015,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2016,PAW_W_2016,FB,No,None,No,UNK,Never
PAW,W,PAW_W,2017,PAW_W_2017,FB,No,None,No,0.5,Never
PYN,N,PYN_N,2007,PYN_N_2007,PB,No,SLS,Yes,0,Never
PYN,N,PYN_N,2008,PYN_N_2008,PB,No,SLS,Yes,1,Never
PYN,N,PYN_N,2009,PYN_N_2009,PB,No,SLS,Yes,2,Never
PYN,N,PYN_N,2010,PYN_N_2010,PB,No,SLS,Yes,0,Never
PYN,N,PYN_N,2011,PYN_N_2011,PB,No,SLS,Yes,1,Never
PYN,N,PYN_N,2012,PYN_N_2012,PB,No,SLS,Yes,2,Never
PYN,N,PYN_N,2013,PYN_N_2013,PB,No,SLS,Yes,0,Never
PYN,N,PYN_N,2014,PYN_N_2014,PB,No,IES,Yes,1,Never
PYN,N,PYN_N,2015,PYN_N_2015,PB,No,IES,Yes,2,Never
PYN,N,PYN_N,2016,PYN_N_2016,PB,No,IES,Yes,0,Never
PYN,N,PYN_N,2017,PYN_N_2017,PB,No,IES,Yes,1,Never
PYN,S,PYN_S,2007,PYN_S_2007,PB,No,SLS,Yes,UNK,Never
PYN,S,PYN_S,2008,PYN_S_2008,PB,No,SLS,Yes,UNK,Never
PYN,S,PYN_S,2009,PYN_S_2009,PB,No,SLS,Yes,0,Never
PYN,S,PYN_S,2010,PYN_S_2010,PB,No,SLS,Yes,1,Never
PYN,S,PYN_S,2011,PYN_S_2011,PB,No,SLS,Yes,2,Never
PYN,S,PYN_S,2012,PYN_S_2012,PB,No,SLS,Yes,0,Never
PYN,S,PYN_S,2013,PYN_S_2013,PB,No,SLS,Yes,1,Never
PYN,S,PYN_S,2014,PYN_S_2014,PB,No,IES,Yes,2,Never
PYN,S,PYN_S,2015,PYN_S_2015,PB,No,IES,Yes,0,Never
PYN,S,PYN_S,2016,PYN_S_2016,PB,No,IES,Yes,1,Never
PYN,S,PYN_S,2017,PYN_S_2017,PB,No,IES,Yes,2,Never
PYN,W,PYN_W,2007,PYN_W_2007,PB,No,SLS,Yes,UNK,Never
PYN,W,PYN_W,2008,PYN_W_2008,PB,No,SLS,Yes,0,Never
PYN,W,PYN_W,2009,PYN_W_2009,PB,No,SLS,Yes,1,Never
PYN,W,PYN_W,2010,PYN_W_2010,PB,No,SLS,Yes,2,Never
PYN,W,PYN_W,2011,PYN_W_2011,PB,No,SLS,Yes,0,Never
PYN,W,PYN_W,2012,PYN_W_2012,PB,No,SLS,Yes,1,Never
PYN,W,PYN_W,2013,PYN_W_2013,PB,No,SLS,Yes,2,Never
PYN,W,PYN_W,2014,PYN_W_2014,PB,No,IES,Yes,0,Never
PYN,W,PYN_W,2015,PYN_W_2015,PB,No,IES,Yes,1,Never
PYN,W,PYN_W,2016,PYN_W_2016,PB,No,IES,Yes,2,Never
PYN,W,PYN_W,2017,PYN_W_2017,PB,No,IES,Yes,0,Never
PYS,N,PYS_N,2007,PYS_N_2007,PB,No,SLS,Yes,UNK,Never
PYS,N,PYS_N,2008,PYS_N_2008,PB,No,SLS,Yes,UNK,Never
PYS,N,PYS_N,2009,PYS_N_2009,PB,No,SLS,Yes,0,Never
PYS,N,PYS_N,2010,PYS_N_2010,PB,No,SLS,Yes,1,Never
PYS,N,PYS_N,2011,PYS_N_2011,PB,No,SLS,Yes,2,Never
PYS,N,PYS_N,2012,PYS_N_2012,PB,No,SLS,Yes,0,Never
PYS,N,PYS_N,2013,PYS_N_2013,PB,No,SLS,Yes,1,Never
PYS,N,PYS_N,2014,PYS_N_2014,PB,No,SLS,Yes,2,Never
PYS,N,PYS_N,2015,PYS_N_2015,PB,No,SLS,Yes,0,Never
PYS,N,PYS_N,2016,PYS_N_2016,PB,No,SLS,Yes,1,Never
PYS,N,PYS_N,2017,PYS_N_2017,PB,No,SLS,Yes,2,Never
PYS,S,PYS_S,2007,PYS_S_2007,PB,No,SLS,Yes,UNK,Never
PYS,S,PYS_S,2008,PYS_S_2008,PB,No,SLS,Yes,0,Never
PYS,S,PYS_S,2009,PYS_S_2009,PB,No,SLS,Yes,1,Never
PYS,S,PYS_S,2010,PYS_S_2010,PB,No,SLS,Yes,2,Never
PYS,S,PYS_S,2011,PYS_S_2011,PB,No,SLS,Yes,0,Never
PYS,S,PYS_S,2012,PYS_S_2012,PB,No,SLS,Yes,1,Never
PYS,S,PYS_S,2013,PYS_S_2013,PB,No,SLS,Yes,2,Never
PYS,S,PYS_S,2014,PYS_S_2014,PB,No,SLS,Yes,0,Never
PYS,S,PYS_S,2015,PYS_S_2015,PB,No,SLS,Yes,1,Never
PYS,S,PYS_S,2016,PYS_S_2016,PB,No,SLS,Yes,2,Never
PYS,S,PYS_S,2017,PYS_S_2017,PB,No,SLS,Yes,0,Never
PYS,W,PYS_W,2007,PYS_W_2007,PB,No,SLS,Yes,0,Never
PYS,W,PYS_W,2008,PYS_W_2008,PB,No,SLS,Yes,1,Never
PYS,W,PYS_W,2009,PYS_W_2009,PB,No,SLS,Yes,2,Never
PYS,W,PYS_W,2010,PYS_W_2010,PB,No,SLS,Yes,0,Never
PYS,W,PYS_W,2011,PYS_W_2011,PB,No,SLS,Yes,1,Never
PYS,W,PYS_W,2012,PYS_W_2012,PB,No,SLS,Yes,2,Never
PYS,W,PYS_W,2013,PYS_W_2013,PB,No,SLS,Yes,0,Never
PYS,W,PYS_W,2014,PYS_W_2014,PB,No,SLS,Yes,1,Never
PYS,W,PYS_W,2015,PYS_W_2015,PB,No,SLS,Yes,2,Never
PYS,W,PYS_W,2016,PYS_W_2016,PB,No,SLS,Yes,0,Never
PYS,W,PYS_W,2017,PYS_W_2017,PB,No,SLS,Yes,1,Never
PYW,C,PYW_C,2007,PYW_C_2007,FB,No,SLS,Yes,UNK,Never
PYW,C,PYW_C,2008,PYW_C_2008,FB,No,SLS,Yes,UNK,Never
PYW,C,PYW_C,2009,PYW_C_2009,FB,No,SLS,Yes,0,Never
PYW,C,PYW_C,2010,PYW_C_2010,FB,No,SLS,Yes,1,Never
PYW,C,PYW_C,2011,PYW_C_2011,FB,No,SLS,Yes,2,Never
PYW,C,PYW_C,2012,PYW_C_2012,FB,No,SLS,Yes,0,Never
PYW,C,PYW_C,2013,PYW_C_2013,FB,No,SLS,Yes,1,Never
PYW,C,PYW_C,2014,PYW_C_2014,FB,No,SLS,Yes,2,Never
PYW,C,PYW_C,2015,PYW_C_2015,FB,Yes,SLS,Yes,0,0.5
PYW,C,PYW_C,2016,PYW_C_2016,FB,Yes,SLS,Yes,1,1.5
PYW,C,PYW_C,2017,PYW_C_2017,FB,Yes,SLS,Yes,2,2.5
PYW,N,PYW_N,2007,PYW_N_2007,FB,No,SLS,Yes,UNK,Never
PYW,N,PYW_N,2008,PYW_N_2008,FB,No,SLS,Yes,UNK,Never
PYW,N,PYW_N,2009,PYW_N_2009,FB,No,SLS,Yes,0,Never
PYW,N,PYW_N,2010,PYW_N_2010,FB,No,SLS,Yes,1,Never
PYW,N,PYW_N,2011,PYW_N_2011,FB,No,SLS,Yes,2,Never
PYW,N,PYW_N,2012,PYW_N_2012,FB,No,SLS,Yes,0,Never
PYW,N,PYW_N,2013,PYW_N_2013,FB,No,SLS,Yes,1,Never
PYW,N,PYW_N,2014,PYW_N_2014,FB,No,SLS,Yes,2,Never
PYW,N,PYW_N,2015,PYW_N_2015,FB,Yes,SLS,Yes,0,0.5
PYW,N,PYW_N,2016,PYW_N_2016,FB,Yes,SLS,Yes,1,1.5
PYW,N,PYW_N,2017,PYW_N_2017,FB,Yes,SLS,Yes,2,2.5
PYW,S,PYW_S,2007,PYW_S_2007,FB,No,SLS,Yes,UNK,Never
PYW,S,PYW_S,2008,PYW_S_2008,FB,No,SLS,Yes,UNK,Never
PYW,S,PYW_S,2009,PYW_S_2009,FB,No,SLS,Yes,0,Never
PYW,S,PYW_S,2010,PYW_S_2010,FB,No,SLS,Yes,1,Never
PYW,S,PYW_S,2011,PYW_S_2011,FB,No,SLS,Yes,2,Never
PYW,S,PYW_S,2012,PYW_S_2012,FB,No,SLS,Yes,0,Never
PYW,S,PYW_S,2013,PYW_S_2013,FB,No,SLS,Yes,1,Never
PYW,S,PYW_S,2014,PYW_S_2014,FB,No,SLS,Yes,2,Never
PYW,S,PYW_S,2015,PYW_S_2015,FB,Yes,SLS,Yes,0,Never
PYW,S,PYW_S,2016,PYW_S_2016,FB,Yes,SLS,Yes,1,Never
PYW,S,PYW_S,2017,PYW_S_2017,FB,Yes,SLS,Yes,2,Never
RC2,C,RC2_C,2014,RC2_C_2014,No,No,None,No,Never,Never
RC2,C,RC2_C,2015,RC2_C_2015,No,Yes,None,No,Never,0.5
RC2,C,RC2_C,2016,RC2_C_2016,No,Yes,None,No,Never,1.5
RC2,C,RC2_C,2017,RC2_C_2017,No,Yes,None,No,Never,2.5
RC2,N,RC2_N,2014,RC2_N_2014,No,No,None,No,Never,Never
RC2,N,RC2_N,2015,RC2_N_2015,No,Yes,None,No,Never,0.5
RC2,N,RC2_N,2016,RC2_N_2016,No,Yes,None,No,Never,1.5
RC2,N,RC2_N,2017,RC2_N_2017,No,Yes,None,No,Never,2.5
RC2,S,RC2_S,2014,RC2_S_2014,No,No,None,No,Never,Never
RC2,S,RC2_S,2015,RC2_S_2015,No,Yes,None,No,Never,Never
RC2,S,RC2_S,2016,RC2_S_2016,No,Yes,None,No,Never,Never
RC2,S,RC2_S,2017,RC2_S_2017,No,Yes,None,No,Never,Never
RCH2007,C,RCH2007_C,2007,RCH2007_C_2007,FB,No,None,No,UNK,Never
RCH2007,C,RCH2007_C,2008,RCH2007_C_2008,FB,No,None,No,UNK,Never
RCH2007,C,RCH2007_C,2009,RCH2007_C_2009,FB,No,None,No,0,Never
RCH2007,C,RCH2007_C,2010,RCH2007_C_2010,FB,No,None,No,1,Never
RCH2007,C,RCH2007_C,2011,RCH2007_C_2011,FB,No,None,No,2,Never
RCH2007,C,RCH2007_C,2012,RCH2007_C_2012,FB,No,None,No,0,Never
RCH2007,C,RCH2007_C,2013,RCH2007_C_2013,FB,No,None,No,1,Never
RCH2007,E,RCH2007_E,2007,RCH2007_E_2007,FB,No,None,No,UNK,Never
RCH2007,E,RCH2007_E,2008,RCH2007_E_2008,FB,No,None,No,UNK,Never
RCH2007,E,RCH2007_E,2009,RCH2007_E_2009,FB,No,None,No,0,Never
RCH2007,E,RCH2007_E,2010,RCH2007_E_2010,FB,No,None,No,1,Never
RCH2007,E,RCH2007_E,2011,RCH2007_E_2011,FB,No,None,No,2,Never
RCH2007,E,RCH2007_E,2012,RCH2007_E_2012,FB,No,None,No,0,Never
RCH2007,E,RCH2007_E,2013,RCH2007_E_2013,FB,No,None,No,1,Never
RCH2007,W,RCH2007_W,2007,RCH2007_W_2007,FB,No,None,No,UNK,Never
RCH2007,W,RCH2007_W,2008,RCH2007_W_2008,FB,No,None,No,UNK,Never
RCH2007,W,RCH2007_W,2009,RCH2007_W_2009,FB,No,None,No,0,Never
RCH2007,W,RCH2007_W,2010,RCH2007_W_2010,FB,No,None,No,1,Never
RCH2007,W,RCH2007_W,2011,RCH2007_W_2011,FB,No,None,No,2,Never
RCH2007,W,RCH2007_W,2012,RCH2007_W_2012,FB,No,None,No,0,Never
RCH2007,W,RCH2007_W,2013,RCH2007_W_2013,FB,No,None,No,1,Never
RCH2014,C,RCH2014_C,2014,RCH2014_C_2014,PB,No,SLS,Yes,2,Never
