Pasture_patch,Year,Pasture_patch_year,Burn Cohort
KLN_W,2013,KLN_W_2013,C2
KLN_W,2014,KLN_W_2014,C2
KLT_E,2012,KLT_E_2012,C2
KLT_E,2013,KLT_E_2013,C2
KLT_E,2014,KLT_E_2014,C2
KLT_S,2012,KLT_S_2012,C2
KLT_S,2013,KLT_S_2013,C2
KLT_S,2014,KLT_S_2014,C2
KLT_W,2012,KLT_W_2012,C2
KLT_W,2013,KLT_W_2013,C2
KLT_W,2014,KLT_W_2014,C2
LTR_C,2012,LTR_C_2012,C2
LTR_C,2013,LTR_C_2013,C2
LTR_C,2014,LTR_C_2014,C2
LTR_E,2012,LTR_E_2012,C2
LTR_E,2013,LTR_E_2013,C2
LTR_E,2014,LTR_E_2014,C2
LTR_W,2012,LTR_W_2012,C2
LTR_W,2013,LTR_W_2013,C2
LTR_W,2014,LTR_W_2014,C2
PYN_S,2012,PYN_S_2012,C2
PYN_S,2013,PYN_S_2013,C2
PYN_S,2014,PYN_S_2014,C2
PYS_N,2012,PYS_N_2012,C2
PYS_N,2013,PYS_N_2013,C2
PYS_N,2014,PYS_N_2014,C2
PYW_C,2012,PYW_C_2012,C2
PYW_C,2013,PYW_C_2013,C2
PYW_C,2014,PYW_C_2014,C2
PYW_N,2012,PYW_N_2012,C2
PYW_N,2013,PYW_N_2013,C2
PYW_N,2014,PYW_N_2014,C2
PYW_S,2012,PYW_S_2012,C2
PYW_S,2013,PYW_S_2013,C2
PYW_S,2014,PYW_S_2014,C2
RIN_E,2012,RIN_E_2012,C2
RIN_E,2013,RIN_E_2013,C2
RIN_E,2014,RIN_E_2014,C2
RIN_S,2012,RIN_S_2012,C2
RIN_S,2013,RIN_S_2013,C2
RIN_S,2014,RIN_S_2014,C2
RIN_W,2012,RIN_W_2012,C2
RIN_W,2013,RIN_W_2013,C2
RIN_W,2014,RIN_W_2014,C2
RIS_C,2012,RIS_C_2012,C2
RIS_C,2013,RIS_C_2013,C2
RIS_C,2014,RIS_C_2014,C2
RNR_C,2014,RNR_C_2014,C2
RNR_E,2014,RNR_E_2014,C2
STE_N,2012,STE_N_2012,C2
STE_N,2013,STE_N_2013,C2
STE_N,2014,STE_N_2014,C2
STE_S,2012,STE_S_2012,C2
STE_S,2013,STE_S_2013,C2
STE_S,2014,STE_S_2014,C2
STE_W,2012,STE_W_2012,C2
STE_W,2013,STE_W_2013,C2
STE_W,2014,STE_W_2014,C2
KLT_E,2015,KLT_E_2015,C2
KLT_S,2015,KLT_S_2015,C2
KLT_W,2015,KLT_W_2015,C2
RIN_E,2015,RIN_E_2015,C2
RIN_S,2015,RIN_S_2015,C2
RIN_W,2015,RIN_W_2015,C2
RNR_C,2015,RNR_C_2015,C2
RNR_E,2015,RNR_E_2015,C2
STE_N,2015,STE_N_2015,C2
STE_S,2015,STE_S_2015,C2
STE_W,2015,STE_W_2015,C2
RIN_E,2016,RIN_E_2016,C2
RIN_S,2016,RIN_S_2016,C2
RIN_W,2016,RIN_W_2016,C2
STE_N,2016,STE_N_2016,C2
STE_S,2016,STE_S_2016,C2
STE_W,2016,STE_W_2016,C2
GIL_C,2009,GIL_C_2009,C1
GIL_C,2010,GIL_C_2010,C1
GIL_C,2011,GIL_C_2011,C1
GIL_N,2009,GIL_N_2009,C1
GIL_N,2010,GIL_N_2010,C1
GIL_N,2011,GIL_N_2011,C1
GIL_S,2009,GIL_S_2009,C1
GIL_S,2010,GIL_S_2010,C1
GIL_S,2011,GIL_S_2011,C1
KLN_W,2009,KLN_W_2009,C1
KLN_W,2010,KLN_W_2010,C1
KLN_W,2011,KLN_W_2011,C1
KLT_E,2009,KLT_E_2009,C1
KLT_E,2010,KLT_E_2010,C1
KLT_E,2011,KLT_E_2011,C1
KLT_S,2009,KLT_S_2009,C1
KLT_S,2010,KLT_S_2010,C1
KLT_S,2011,KLT_S_2011,C1
KLT_W,2009,KLT_W_2009,C1
KLT_W,2010,KLT_W_2010,C1
KLT_W,2011,KLT_W_2011,C1
LTR_C,2009,LTR_C_2009,C1
LTR_C,2010,LTR_C_2010,C1
LTR_C,2011,LTR_C_2011,C1
LTR_E,2009,LTR_E_2009,C1
LTR_E,2010,LTR_E_2010,C1
LTR_E,2011,LTR_E_2011,C1
LTR_W,2009,LTR_W_2009,C1
LTR_W,2010,LTR_W_2010,C1
LTR_W,2011,LTR_W_2011,C1
PYN_S,2009,PYN_S_2009,C1
PYN_S,2010,PYN_S_2010,C1
PYN_S,2011,PYN_S_2011,C1
PYS_N,2009,PYS_N_2009,C1
PYS_N,2010,PYS_N_2010,C1
PYS_N,2011,PYS_N_2011,C1
PYW_C,2009,PYW_C_2009,C1
PYW_C,2010,PYW_C_2010,C1
PYW_C,2011,PYW_C_2011,C1
PYW_N,2009,PYW_N_2009,C1
PYW_N,2010,PYW_N_2010,C1
PYW_N,2011,PYW_N_2011,C1
PYW_S,2009,PYW_S_2009,C1
PYW_S,2010,PYW_S_2010,C1
PYW_S,2011,PYW_S_2011,C1
RIN_E,2009,RIN_E_2009,C1
RIN_E,2010,RIN_E_2010,C1
RIN_E,2011,RIN_E_2011,C1
RIN_S,2009,RIN_S_2009,C1
RIN_S,2010,RIN_S_2010,C1
RIN_S,2011,RIN_S_2011,C1
RIN_W,2009,RIN_W_2009,C1
RIN_W,2010,RIN_W_2010,C1
RIN_W,2011,RIN_W_2011,C1
RIS_C,2009,RIS_C_2009,C1
RIS_C,2010,RIS_C_2010,C1
RIS_C,2011,RIS_C_2011,C1
STE_N,2009,STE_N_2009,C1
STE_N,2010,STE_N_2010,C1
STE_N,2011,STE_N_2011,C1
STE_S,2009,STE_S_2009,C1
STE_S,2010,STE_S_2010,C1
STE_S,2011,STE_S_2011,C1
STE_W,2009,STE_W_2009,C1
STE_W,2010,STE_W_2010,C1
STE_W,2011,STE_W_2011,C1
RNR_W,2017,RNR_W_2017,B4
KLN_C,2017,KLN_C_2017,B4
PYN_W,2017,PYN_W_2017,B4
PYS_S,2017,PYS_S_2017,B4
RIS_N,2017,RIS_N_2017,B4
KLN_C,2014,KLN_C_2014,B3
KLN_C,2015,KLN_C_2015,B3
KLN_C,2016,KLN_C_2016,B3
PYN_W,2014,PYN_W_2014,B3
PYN_W,2015,PYN_W_2015,B3
PYN_W,2016,PYN_W_2016,B3
PYS_S,2014,PYS_S_2014,B3
PYS_S,2015,PYS_S_2015,B3
PYS_S,2016,PYS_S_2016,B3
RIS_N,2014,RIS_N_2014,B3
RIS_N,2015,RIS_N_2015,B3
RIS_N,2016,RIS_N_2016,B3
RNR_W,2014,RNR_W_2014,B3
RNR_W,2015,RNR_W_2015,B3
RNR_W,2016,RNR_W_2016,B3
KLN_C,2011,KLN_C_2011,B2
KLN_C,2012,KLN_C_2012,B2
KLN_C,2013,KLN_C_2013,B2
PYN_W,2011,PYN_W_2011,B2
PYN_W,2012,PYN_W_2012,B2
PYN_W,2013,PYN_W_2013,B2
PYS_S,2011,PYS_S_2011,B2
PYS_S,2012,PYS_S_2012,B2
PYS_S,2013,PYS_S_2013,B2
RIS_N,2011,RIS_N_2011,B2
RIS_N,2012,RIS_N_2012,B2
RIS_N,2013,RIS_N_2013,B2
KLN_C,2008,KLN_C_2008,B1
KLN_C,2009,KLN_C_2009,B1
KLN_C,2010,KLN_C_2010,B1
PYN_W,2008,PYN_W_2008,B1
PYN_W,2009,PYN_W_2009,B1
PYN_W,2010,PYN_W_2010,B1
PYS_S,2008,PYS_S_2008,B1
PYS_S,2009,PYS_S_2009,B1
PYS_S,2010,PYS_S_2010,B1
RIS_N,2008,RIS_N_2008,B1
RIS_N,2009,RIS_N_2009,B1
RIS_N,2010,RIS_N_2010,B1
RNR_C,2017,RNR_C_2017,A4
RNR_E,2017,RNR_E_2017,A4
KLN_E,2016,KLN_E_2016,A4
KLN_E,2017,KLN_E_2017,A4
PYN_N,2016,PYN_N_2016,A4
PYN_N,2017,PYN_N_2017,A4
PYS_W,2016,PYS_W_2016,A4
PYS_W,2017,PYS_W_2017,A4
RIS_S,2016,RIS_S_2016,A4
RIS_S,2017,RIS_S_2017,A4
RNR_C,2016,RNR_C_2016,A4
RNR_E,2016,RNR_E_2016,A4
KLN_E,2013,KLN_E_2013,A3
KLN_E,2014,KLN_E_2014,A3
KLN_E,2015,KLN_E_2015,A3
PYN_N,2013,PYN_N_2013,A3
PYN_N,2014,PYN_N_2014,A3
PYN_N,2015,PYN_N_2015,A3
PYS_W,2013,PYS_W_2013,A3
PYS_W,2014,PYS_W_2014,A3
PYS_W,2015,PYS_W_2015,A3
RIS_S,2013,RIS_S_2013,A3
RIS_S,2014,RIS_S_2014,A3
RIS_S,2015,RIS_S_2015,A3
KLN_E,2010,KLN_E_2010,A2
KLN_E,2011,KLN_E_2011,A2
KLN_E,2012,KLN_E_2012,A2
PYN_N,2010,PYN_N_2010,A2
PYN_N,2011,PYN_N_2011,A2
PYN_N,2012,PYN_N_2012,A2
PYS_W,2010,PYS_W_2010,A2
PYS_W,2011,PYS_W_2011,A2
PYS_W,2012,PYS_W_2012,A2
RIS_S,2010,RIS_S_2010,A2
RIS_S,2011,RIS_S_2011,A2
RIS_S,2012,RIS_S_2012,A2
KLN_E,2007,KLN_E_2007,A1
KLN_E,2008,KLN_E_2008,A1
KLN_E,2009,KLN_E_2009,A1
PYN_N,2007,PYN_N_2007,A1
PYN_N,2008,PYN_N_2008,A1
PYN_N,2009,PYN_N_2009,A1
PYS_W,2007,PYS_W_2007,A1
PYS_W,2008,PYS_W_2008,A1
PYS_W,2009,PYS_W_2009,A1
RIS_S,2007,RIS_S_2007,A1
RIS_S,2008,RIS_S_2008,A1
RIS_S,2009,RIS_S_2009,A1
